ARCHIVO | ZONA | ASSETS_IMPORTADOS
SM_VestibuloBlockout_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_VestibuloBlockout_Library_A.SM_VestibuloBlockout_Library_A
SM_VigilanciaBlockout_Library_A.fbx | Biblioteca | /Game/Modelos3D/Biblioteca/SM_VigilanciaBlockout_Library_A.SM_VigilanciaBlockout_Library_A
SM_InvestigationTable_CentroCultural_A.fbx | CentroCultural | /Game/Modelos3D/CentroCultural/SM_InvestigationTable_CentroCultural_A.SM_InvestigationTable_CentroCultural_A
SM_MemorialMonument_CentroCultural_A.fbx | CentroCultural | /Game/Modelos3D/CentroCultural/SM_MemorialMonument_CentroCultural_A.SM_MemorialMonument_CentroCultural_A
SM_PlazaMemorialFloorBlockout_A.fbx | CentroCultural | /Game/Modelos3D/CentroCultural/SM_PlazaMemorialFloorBlockout_A.SM_PlazaMemorialFloorBlockout_A
SM_RadioWorkbench_CentroCultural_A.fbx | CentroCultural | /Game/Modelos3D/CentroCultural/SM_RadioWorkbench_CentroCultural_A.SM_RadioWorkbench_CentroCultural_A
SM_SalaInvestigacionBlockout_CentroCultural_A.fbx | CentroCultural | /Game/Modelos3D/CentroCultural/SM_SalaInvestigacionBlockout_CentroCultural_A.SM_SalaInvestigacionBlockout_CentroCultural_A
SM_BiologiaBlockout_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_BiologiaBlockout_Ciencias_A.SM_BiologiaBlockout_Ciencias_A
SM_ChemCabinet_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_ChemCabinet_Ciencias_A.SM_ChemCabinet_Ciencias_A
SM_FisicaBlockout_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_FisicaBlockout_Ciencias_A.SM_FisicaBlockout_Ciencias_A
SM_FumeHood_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_FumeHood_Ciencias_A.SM_FumeHood_Ciencias_A
SM_GreenhouseTable_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_GreenhouseTable_Ciencias_A.SM_GreenhouseTable_Ciencias_A
SM_HerbarioBlockout_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_HerbarioBlockout_Ciencias_A.SM_HerbarioBlockout_Ciencias_A
SM_HerbariumShelf_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_HerbariumShelf_Ciencias_A.SM_HerbariumShelf_Ciencias_A
SM_InvernaderoBlockout_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_InvernaderoBlockout_Ciencias_A.SM_InvernaderoBlockout_Ciencias_A
SM_LabTable_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_LabTable_Ciencias_A.SM_LabTable_Ciencias_A
SM_Microscope_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_Microscope_Ciencias_A.SM_Microscope_Ciencias_A
SM_OpticaBlockout_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_OpticaBlockout_Ciencias_A.SM_OpticaBlockout_Ciencias_A
SM_PendulumStand_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_PendulumStand_Ciencias_A.SM_PendulumStand_Ciencias_A
SM_PipeSystem_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_PipeSystem_Ciencias_A.SM_PipeSystem_Ciencias_A
SM_PrismStand_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_PrismStand_Ciencias_A.SM_PrismStand_Ciencias_A
SM_QuimicaBlockout_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_QuimicaBlockout_Ciencias_A.SM_QuimicaBlockout_Ciencias_A
SM_SpecimenCabinet_Ciencias_A.fbx | Ciencias | /Game/Modelos3D/Ciencias/SM_SpecimenCabinet_Ciencias_A.SM_SpecimenCabinet_Ciencias_A
SM_ArchivoBlockout_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_ArchivoBlockout_Derecho_A.SM_ArchivoBlockout_Derecho_A
SM_BovedaBlockout_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_BovedaBlockout_Derecho_A.SM_BovedaBlockout_Derecho_A
SM_ConsejoBlockout_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_ConsejoBlockout_Derecho_A.SM_ConsejoBlockout_Derecho_A
SM_CouncilTable_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_CouncilTable_Derecho_A.SM_CouncilTable_Derecho_A
SM_JudgeBench_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_JudgeBench_Derecho_A.SM_JudgeBench_Derecho_A
SM_SalaJuicioBlockout_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_SalaJuicioBlockout_Derecho_A.SM_SalaJuicioBlockout_Derecho_A
SM_VaultDoor_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_VaultDoor_Derecho_A.SM_VaultDoor_Derecho_A
SM_WitnessStand_Derecho_A.fbx | Derecho | /Game/Modelos3D/Derecho/SM_WitnessStand_Derecho_A.SM_WitnessStand_Derecho_A
SM_Alarm_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_Alarm_Educacion_A.SM_Alarm_Educacion_A
SM_ArchivoBlockout_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_ArchivoBlockout_Educacion_A.SM_ArchivoBlockout_Educacion_A
SM_AulaBlockout_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_AulaBlockout_Educacion_A.SM_AulaBlockout_Educacion_A
SM_Blackboard_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_Blackboard_Educacion_A.SM_Blackboard_Educacion_A
SM_CorridorParanormalBlockout_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_CorridorParanormalBlockout_Educacion_A.SM_CorridorParanormalBlockout_Educacion_A
SM_Desk_Teacher_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_Desk_Teacher_Educacion_A.SM_Desk_Teacher_Educacion_A
SM_FilingCabinet_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_FilingCabinet_Educacion_A.SM_FilingCabinet_Educacion_A
SM_LabPedagogicoBlockout_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_LabPedagogicoBlockout_Educacion_A.SM_LabPedagogicoBlockout_Educacion_A
SM_LabTable_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_LabTable_Educacion_A.SM_LabTable_Educacion_A
SM_Map_Educacion_A.fbx | Educacion | /Game/Modelos3D/Educacion/SM_Map_Educacion_A.SM_Map_Educacion_A
SM_BusSeatRow_Exteriores_A.fbx | Exteriores | /Game/Modelos3D/Exteriores/SM_BusSeatRow_Exteriores_A.SM_BusSeatRow_Exteriores_A
SM_BusStopBlockout_Exteriores_A.fbx | Exteriores | /Game/Modelos3D/Exteriores/SM_BusStopBlockout_Exteriores_A.SM_BusStopBlockout_Exteriores_A
SM_Bus_Exteriores_A.fbx | Exteriores | /Game/Modelos3D/Exteriores/SM_Bus_Exteriores_A.SM_Bus_Exteriores_A
SM_AulaBlockout_Generales_A.fbx | Generales | /Game/Modelos3D/Generales/SM_AulaBlockout_Generales_A.SM_AulaBlockout_Generales_A
SM_Blackboard_Aula_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Blackboard_Aula_A.SM_Blackboard_Aula_A
SM_Counter_Soda_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Counter_Soda_A.SM_Counter_Soda_A
SM_Desk_Teacher_Aula_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Desk_Teacher_Aula_A.SM_Desk_Teacher_Aula_A
SM_DiningSet_Soda_A.fbx | Generales | /Game/Modelos3D/Generales/SM_DiningSet_Soda_A.SM_DiningSet_Soda_A
SM_Facade_Generales_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Facade_Generales_A.SM_Facade_Generales_A
SM_Mirror_Generales_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Mirror_Generales_A.SM_Mirror_Generales_A
SM_OrderSpeaker_Soda_A.fbx | Generales | /Game/Modelos3D/Generales/SM_OrderSpeaker_Soda_A.SM_OrderSpeaker_Soda_A
SM_Receipt_Soda_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Receipt_Soda_A.SM_Receipt_Soda_A
SM_SodaBlockout_Generales_A.fbx | Generales | /Game/Modelos3D/Generales/SM_SodaBlockout_Generales_A.SM_SodaBlockout_Generales_A
SM_Stairs_Generales_A.fbx | Generales | /Game/Modelos3D/Generales/SM_Stairs_Generales_A.SM_Stairs_Generales_A
